Image,Sequential,OpenMP,MPI+OpenMP,Hybrid,CUDA,MPI Frames,MPI Domain
051009.vince,0.061465,0.024878,0.070416,N/A,0.216898,0.076819,0.010
200_s,0.006376,0.003692,0.004832,N/A,0.121665,0.001937,0.001
9815573,0.064168,0.031613,0.043505,N/A,0.128250,0.022808,0.006
Campusplan-Hausnr,3.078912,0.933097,3.658239,N/A,0.571738,4.373506,0.504
Campusplan-Mobilitaetsbeschraenkte,3.087507,0.959616,3.663892,N/A,0.578511,4.384023,0.509
Mandelbrot-large,1.153054,0.379118,0.747911,N/A,0.398080,0.437313,0.143
Produits_sous_linux,0.032616,0.019148,0.039495,N/A,0.203899,0.032112,0.006
TimelyHugeGnu,0.195541,0.078426,0.127462,N/A,0.225755,0.057964,0.020
australian-flag-large,0.037957,0.015401,0.037148,N/A,0.128223,0.037365,0.006
fire,0.006015,0.009256,0.004864,N/A,0.121411,0.000633,0.002
frame_002,0.021828,0.009818,0.016456,N/A,0.117515,0.004594,0.003
giphy-3,0.465469,0.160166,0.307541,N/A,0.261564,0.282030,0.068
porsche,0.008112,0.006351,0.003688,N/A,0.167265,0.001382,0.001
tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large,0.107234,0.048861,0.071522,N/A,0.152362,0.053699,0.012
x,0.113951,0.041943,0.077417,N/A,0.193899,0.050975,0.013
