ImageName,LoadTime,FilterTime,ExportTime,TotalTime
051009.vince.gif,0.018697,0.215131,0.010432,0.24426
200_s.gif,0.000532,0.113910,0.001172,0.115614
9815573.gif,0.011636,0.123370,0.008376,0.143382
australian-flag-large.gif,0.003877,0.114878,0.005708,0.124463
Campusplan-Hausnr.gif,0.323813,0.483366,0.351082,1.15826
Campusplan-Mobilitaetsbeschraenkte.gif,0.322755,0.644202,0.357227,1.32418
fire.gif,0.001110,0.122747,0.001802,0.125659
frame_002.gif,0.002741,0.116815,0.002497,0.122053
giphy-3.gif,0.071923,0.165666,0.067395,0.304984
Mandelbrot-large.gif,0.160700,0.312315,0.175324,0.648339
porsche.gif,0.000965,0.111773,0.001367,0.114105
Produits_sous_linux.gif,0.005545,0.121439,0.005460,0.132444
TimelyHugeGnu.gif,0.045746,0.136813,0.032597,0.215156
tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,0.022600,0.121016,0.015713,0.159329
x.gif,0.015200,0.188422,0.019611,0.223233
