ImageName,NumProcs,LoadTime,FilterTime,ExportTime,TotalTime
051009.vince.gif,1,0.019,0.014,0.009,0.042
051009.vince.gif,2,0.018,0.010,0.009,0.037
051009.vince.gif,4,0.016,0.009,0.009,0.034
051009.vince.gif,8,0.031,0.009,0.009,0.049
200_s.gif,1,0.001,0.002,0.002,0.005
200_s.gif,2,0.001,0.001,0.002,0.004
200_s.gif,4,0.001,0.001,0.003,0.005
200_s.gif,8,0.001,0.001,0.002,0.004
9815573.gif,1,0.019,0.013,0.008,0.04
9815573.gif,2,0.018,0.006,0.008,0.032
9815573.gif,4,0.020,0.006,0.008,0.034
9815573.gif,8,0.020,0.010,0.010,0.04
australian-flag-large.gif,1,0.011,0.007,0.006,0.024
australian-flag-large.gif,2,0.010,0.006,0.006,0.022
australian-flag-large.gif,4,0.011,0.006,0.006,0.023
australian-flag-large.gif,8,0.014,0.012,0.007,0.033
Campusplan-Hausnr.gif,1,0.331,0.654,0.300,1.285
Campusplan-Hausnr.gif,2,0.328,0.507,0.299,1.134
Campusplan-Hausnr.gif,4,0.366,0.452,0.330,1.148
Campusplan-Hausnr.gif,8,0.350,0.439,0.297,1.086
Campusplan-Mobilitaetsbeschraenkte.gif,1,0.331,0.656,0.301,1.288
Campusplan-Mobilitaetsbeschraenkte.gif,2,0.328,0.510,0.300,1.138
Campusplan-Mobilitaetsbeschraenkte.gif,4,0.324,0.451,0.300,1.075
Campusplan-Mobilitaetsbeschraenkte.gif,8,0.325,0.436,0.331,1.092
fire.gif,1,0.002,0.001,0.003,0.006
fire.gif,2,0.002,0.002,0.003,0.007
fire.gif,4,0.002,0.002,0.003,0.007
fire.gif,8,0.003,0.002,0.004,0.009
frame_002.gif,1,0.006,0.006,0.003,0.015
frame_002.gif,2,0.006,0.005,0.004,0.015
frame_002.gif,4,0.005,0.004,0.005,0.014
frame_002.gif,8,0.006,0.006,0.006,0.018
giphy-3.gif,1,0.079,0.095,0.057,0.231
giphy-3.gif,2,0.079,0.067,0.057,0.203
giphy-3.gif,4,0.078,0.061,0.060,0.199
giphy-3.gif,8,0.100,0.057,0.057,0.214
Mandelbrot-large.gif,1,0.159,0.211,0.135,0.505
Mandelbrot-large.gif,2,0.158,0.151,0.137,0.446
Mandelbrot-large.gif,4,0.154,0.103,0.135,0.392
Mandelbrot-large.gif,8,0.210,0.090,0.136,0.436
porsche.gif,1,0.002,0.003,0.003,0.008
porsche.gif,2,0.001,0.001,0.002,0.004
porsche.gif,4,0.002,0.002,0.003,0.007
porsche.gif,8,0.002,0.001,0.003,0.006
Produits_sous_linux.gif,1,0.012,0.007,0.006,0.025
Produits_sous_linux.gif,2,0.008,0.006,0.006,0.02
Produits_sous_linux.gif,4,0.009,0.005,0.006,0.02
Produits_sous_linux.gif,8,0.016,0.013,0.008,0.037
TimelyHugeGnu.gif,1,0.045,0.037,0.023,0.105
TimelyHugeGnu.gif,2,0.044,0.020,0.022,0.086
TimelyHugeGnu.gif,4,0.045,0.018,0.023,0.086
TimelyHugeGnu.gif,8,0.075,0.016,0.024,0.115
tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,1,0.019,0.021,0.015,0.055
tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,2,0.022,0.012,0.016,0.05
tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,4,0.028,0.011,0.018,0.057
tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,8,0.028,0.009,0.015,0.052
x.gif,1,0.024,0.024,0.021,0.069
x.gif,2,0.022,0.014,0.021,0.057
x.gif,4,0.028,0.012,0.023,0.063
x.gif,8,0.020,0.011,0.021,0.052
