Image,NumFrames,Sequential,OpenMP,MPI_Domain,CUDA
noise_frames_1,1,0.017978,0.006236,0.002,0.205868
noise_frames_2,2,0.012597,0.003903,0.003,0.119840
noise_frames_3,3,0.015328,0.006395,0.003,0.116018
noise_frames_4,4,0.023570,0.013324,0.003,0.119871
noise_frames_5,5,0.021998,0.009538,0.003,0.114495
noise_frames_6,6,0.026068,0.012682,0.004,0.124061
noise_frames_7,7,0.030144,0.014836,0.003,0.120121
noise_frames_8,8,0.038345,0.015666,0.003,0.117275
noise_frames_9,9,0.040114,0.016723,0.004,0.124966
noise_frames_10,10,0.039701,0.020119,0.004,0.123664
