Image,Resolution,OpenMP,MPI_Domain,CUDA
noise_size_1000x1000,1000x1000,0.016530,0.007,0.193246
noise_size_100x100,100x100,0.000714,0.000,0.126851
noise_size_200x200,200x200,0.001273,0.001,0.116252
noise_size_300x300,300x300,0.002157,0.002,0.117541
noise_size_400x400,400x400,0.005930,0.004,0.123799
noise_size_500x500,500x500,0.006387,0.004,0.113616
noise_size_600x600,600x600,0.009183,0.005,0.126453
noise_size_700x700,700x700,0.012273,0.004,0.113728
noise_size_800x800,800x800,0.014356,0.005,0.125843
noise_size_900x900,900x900,0.020846,0.006,0.128924
