ImageName,NumProcs,LoadTime,FilterTime,ExportTime,TotalTime
051009.vince.gif,1,0.011550,0.075348,0.127212,0.21411
051009.vince.gif,2,0.010888,0.075866,0.126903,0.213657
051009.vince.gif,4,0.016765,0.075471,0.125502,0.217738
051009.vince.gif,8,0.023736,0.076947,0.124972,0.225655
200_s.gif,1,0.001239,0.001303,0.002215,0.004757
200_s.gif,2,0.000791,0.000694,0.001414,0.002899
200_s.gif,4,0.001095,0.002010,0.002135,0.00524
200_s.gif,8,0.001108,0.001060,0.001557,0.003725
9815573.gif,1,0.015766,0.045057,0.057574,0.118397
9815573.gif,2,0.011035,0.023007,0.057503,0.091545
9815573.gif,4,0.013123,0.014002,0.057940,0.085065
9815573.gif,8,0.035717,0.009748,0.057270,0.102735
australian-flag-large.gif,1,0.005604,0.036679,0.012834,0.055117
australian-flag-large.gif,2,0.003962,0.036704,0.012734,0.0534
australian-flag-large.gif,4,0.004638,0.037069,0.012704,0.054411
australian-flag-large.gif,8,0.012696,0.057590,0.012892,0.083178
Campusplan-Hausnr.gif,1,0.324720,4.377857,0.384198,5.08677
Campusplan-Hausnr.gif,2,0.322585,4.384691,0.378147,5.08542
Campusplan-Hausnr.gif,4,0.378095,5.087176,0.407306,5.87258
Campusplan-Hausnr.gif,8,0.329605,4.364844,0.450285,5.14473
Campusplan-Mobilitaetsbeschraenkte.gif,1,0.322897,4.384592,0.976209,5.6837
Campusplan-Mobilitaetsbeschraenkte.gif,2,0.320636,4.386504,0.972734,5.67987
Campusplan-Mobilitaetsbeschraenkte.gif,4,0.319999,4.443572,0.987859,5.75143
Campusplan-Mobilitaetsbeschraenkte.gif,8,0.324824,4.369527,0.949240,5.64359
fire.gif,1,0.001257,0.000488,0.002535,0.00428
fire.gif,2,0.000750,0.000185,0.001770,0.002705
fire.gif,4,0.000765,0.000090,0.001678,0.002533
fire.gif,8,0.001193,0.000197,0.002578,0.003968
frame_002.gif,1,0.003695,0.005827,0.003152,0.012674
frame_002.gif,2,0.003155,0.004980,0.003028,0.011163
frame_002.gif,4,0.003315,0.004996,0.002988,0.011299
frame_002.gif,8,0.006700,0.020894,0.004644,0.032238
giphy-3.gif,1,0.073525,0.459980,0.585526,1.11903
giphy-3.gif,2,0.070186,0.283000,0.589052,0.942238
giphy-3.gif,4,0.071657,0.203422,0.600577,0.875656
giphy-3.gif,8,0.083934,0.126113,0.594076,0.804123
Mandelbrot-large.gif,1,0.151598,0.938073,1.323925,2.4136
Mandelbrot-large.gif,2,0.149462,0.440515,1.320648,1.91063
Mandelbrot-large.gif,4,0.151478,0.220365,1.337357,1.7092
Mandelbrot-large.gif,8,0.151369,0.129048,1.333968,1.61438
porsche.gif,1,0.001531,0.003023,0.002068,0.006622
porsche.gif,2,0.000974,0.001916,0.001953,0.004843
porsche.gif,4,0.001194,0.002175,0.001640,0.005009
porsche.gif,8,0.001511,0.004529,0.002389,0.008429
Produits_sous_linux.gif,1,0.004696,0.031295,0.006340,0.042331
Produits_sous_linux.gif,2,0.006367,0.031838,0.005510,0.043715
Produits_sous_linux.gif,4,0.009937,0.032203,0.005640,0.04778
Produits_sous_linux.gif,8,0.016469,0.052342,0.006215,0.075026
TimelyHugeGnu.gif,1,0.037237,0.107199,0.272162,0.416598
TimelyHugeGnu.gif,2,0.037648,0.058272,0.271613,0.367533
TimelyHugeGnu.gif,4,0.036339,0.031017,0.272608,0.339964
TimelyHugeGnu.gif,8,0.079119,0.024133,0.271941,0.375193
tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,1,0.018816,0.107505,0.265811,0.392132
tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,2,0.017598,0.053736,0.266087,0.337421
tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,4,0.016266,0.034339,0.264237,0.314842
tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,8,0.030124,0.023565,0.265189,0.318878
x.gif,1,0.019075,0.102535,0.109999,0.231609
x.gif,2,0.017835,0.051013,0.109251,0.178099
x.gif,4,0.018243,0.029127,0.113334,0.160704
x.gif,8,0.021808,0.020454,0.110260,0.152522
