ImageName,Threads,TotalTime
051009.vince.gif,1,0.070595
051009.vince.gif,2,0.035603
051009.vince.gif,4,0.021161
051009.vince.gif,8,0.018082
200_s.gif,1,0.003476
200_s.gif,2,0.001736
200_s.gif,4,0.001361
200_s.gif,8,0.002485
9815573.gif,1,0.063078
9815573.gif,2,0.047482
9815573.gif,4,0.031861
9815573.gif,8,0.029592
australian-flag-large.gif,1,0.044091
australian-flag-large.gif,2,0.018953
australian-flag-large.gif,4,0.020680
australian-flag-large.gif,8,0.017679
Campusplan-Hausnr.gif,1,3.673628
Campusplan-Hausnr.gif,2,1.939920
Campusplan-Hausnr.gif,4,1.019176
Campusplan-Hausnr.gif,8,0.631389
Campusplan-Mobilitaetsbeschraenkte.gif,1,3.174042
Campusplan-Mobilitaetsbeschraenkte.gif,2,1.946469
Campusplan-Mobilitaetsbeschraenkte.gif,4,1.042796
Campusplan-Mobilitaetsbeschraenkte.gif,8,0.649073
fire.gif,1,0.004306
fire.gif,2,0.005579
fire.gif,4,0.008201
fire.gif,8,0.006996
frame_002.gif,1,0.013676
frame_002.gif,2,0.013829
frame_002.gif,4,0.007295
frame_002.gif,8,0.006751
giphy-3.gif,1,0.470436
giphy-3.gif,2,0.271109
giphy-3.gif,4,0.162977
giphy-3.gif,8,0.113909
Mandelbrot-large.gif,1,1.152831
Mandelbrot-large.gif,2,0.739489
Mandelbrot-large.gif,4,0.415784
Mandelbrot-large.gif,8,0.269955
porsche.gif,1,0.004667
porsche.gif,2,0.006179
porsche.gif,4,0.004325
porsche.gif,8,0.006140
Produits_sous_linux.gif,1,0.037422
Produits_sous_linux.gif,2,0.025389
Produits_sous_linux.gif,4,0.016074
Produits_sous_linux.gif,8,0.013343
TimelyHugeGnu.gif,1,0.235215
TimelyHugeGnu.gif,2,0.129749
TimelyHugeGnu.gif,4,0.088358
TimelyHugeGnu.gif,8,0.074542
tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,1,0.104021
tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,2,0.069481
tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,4,0.040219
tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,8,0.034941
x.gif,1,0.114923
x.gif,2,0.068497
x.gif,4,0.040451
x.gif,8,0.032878
