ImageName,LoadTime,FilterTime,ExportTime,TotalTime
051009.vince.gif,0.023979,0.058934,0.127499,0.210412
200_s.gif,0.000715,0.003497,0.001832,0.006044
9815573.gif,0.021285,0.074357,0.057284,0.152926
australian-flag-large.gif,0.005435,0.038010,0.014937,0.058382
Campusplan-Hausnr.gif,0.369150,3.623759,0.411164,4.40407
Campusplan-Mobilitaetsbeschraenkte.gif,0.321740,3.296635,0.999892,4.61827
fire.gif,0.001093,0.002796,0.002434,0.006323
frame_002.gif,0.006411,0.019262,0.006003,0.031676
giphy-3.gif,0.100073,0.540739,0.579233,1.22004
Mandelbrot-large.gif,0.171568,1.361426,1.317849,2.85084
porsche.gif,0.000809,0.003886,0.001369,0.006064
Produits_sous_linux.gif,0.005063,0.032559,0.005992,0.043614
TimelyHugeGnu.gif,0.044956,0.229963,0.265985,0.540904
tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,0.020941,0.128458,0.264119,0.413518
x.gif,0.019260,0.116000,0.108014,0.243274
